"F1" "F1.1"
"147" -0.945364836200004 405.46351638
"148" 0.13212012696411 513.212012696411
"149" -0.718658213386253 428.134178661375
"150" -1.30520442311185 369.479557688815
"151" -0.767629871210365 423.237012878964
"152" 0.108181831534494 510.818183153449
"153" 0.371472622289347 537.147262228935
"154" -0.889269957899958 411.073004210004
"155" -0.0735522503544942 492.644774964551
"156" -0.40887238347124 459.112761652876
"157" -0.27892574201043 472.107425798957
"158" -0.658679138914544 434.132086108546
"159" -0.200221339297234 479.977866070277
"160" -0.958032972691001 404.1967027309
"161" -0.261284697664953 473.871530233505
"162" -0.967815424833874 403.218457516613
"163" -1.53214581671822 346.785418328178
"164" -0.0972143134898507 490.278568651015
"165" -1.68326119739638 331.673880260362
"166" -0.596328100374406 440.367189962559
"167" -0.321104680911831 467.889531908817
